Time (sec),Accel. Pedal Pos. (%),Actual AFR (AFR),Boost (psi),Boost Air Temp. (F),Calculated Load (Load),HPFP Act. Press. (psi),Inj. Duty Cycle (%),Intake Temp. (F),Intake Valve Adv. (°),Knock Retard (°),Long Term FT (%),MAF Voltage (V),Mass Airflow (g/s),RPM (RPM),Short Term FT (%),Spark Adv. (°),Throttle Position (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-MAZ-002 v1.7.5.0-25647][USDM 2011-2013 MAZDASPEED3 (Fed.)][Reflash: T.Perkins-2012ots-v2-B.ptm]"
0.000,-0,29.25,-9.67,108,0.08,1023,0.00,75,0,0.00,1.56,1.49,5.68,2764,0.00,6.50,6,35,0,0
0.002,-0,29.25,-9.75,108,0.08,1020,0.00,75,0,0.00,1.56,1.48,5.62,2762,0.00,6.50,6,35,0,0
0.018,-0,29.25,-9.67,108,0.08,1023,0.00,75,0,0.00,1.56,1.48,5.62,2755,0.00,6.50,6,35,0,0
0.022,-0,29.25,-9.75,108,0.08,1023,0.00,75,0,0.00,1.56,1.48,5.62,2752,0.00,6.50,6,35,0,0
0.035,-0,29.25,-9.75,108,0.08,1023,0.00,75,0,0.00,1.56,1.48,5.62,2750,0.00,6.50,6,35,0,0
0.050,-0,29.25,-9.75,108,0.08,1020,0.00,75,0,0.00,1.56,1.48,5.62,2746,0.00,6.50,6,35,0,0
0.053,-0,29.25,-9.67,108,0.08,1023,0.00,75,0,0.00,1.56,1.48,5.62,2747,0.00,6.50,6,35,0,0
0.075,-0,29.25,-9.75,108,0.08,1023,0.00,75,0,0.00,1.56,1.49,5.68,2747,0.00,6.50,6,35,0,0
0.090,-0,29.25,-9.75,108,0.08,1023,0.00,75,0,0.00,1.56,1.48,5.62,2738,0.00,6.50,6,34,0,0
0.137,0,29.25,-9.75,108,0.08,1023,0.00,75,0,0.00,1.56,1.48,5.62,2734,0.00,6.50,6,34,0,0
0.184,-0,29.25,-9.67,108,0.08,1023,0.00,75,0,0.00,1.56,1.48,5.68,2729,0.00,6.50,6,34,0,0
0.229,0,29.25,-9.75,108,0.08,1023,0.00,75,0,0.00,1.56,1.48,5.57,2729,0.00,6.50,6,34,0,0
0.284,-0,29.25,-9.75,108,0.08,1023,0.00,75,0,0.00,1.56,1.48,5.62,2729,0.00,6.50,6,34,0,0
0.323,-0,29.25,-9.75,108,0.08,1023,0.00,75,0,0.00,1.56,1.48,5.62,2722,0.00,6.50,6,34,0,0
0.378,-0,29.25,-9.75,108,0.08,1025,0.00,75,0,0.00,1.56,1.48,5.57,2718,0.00,6.50,6,34,0,0
0.427,-0,29.25,-9.75,108,0.08,1025,0.00,75,0,0.00,1.56,1.48,5.62,2716,0.00,6.50,6,34,0,0
0.475,-0,29.25,-9.75,108,0.08,1025,0.00,75,0,0.00,1.56,1.48,5.57,2710,0.00,6.50,6,34,0,0
0.520,-0,29.25,-9.75,108,0.08,1025,0.00,75,0,0.00,1.56,1.47,5.52,2710,0.00,6.50,6,34,0,0
0.573,-0,29.25,-9.75,108,0.08,1025,0.00,75,0,0.00,1.56,1.47,5.52,2708,0.00,6.50,6,34,0,0
0.621,-0,29.25,-9.75,108,0.08,1025,0.00,75,0,0.00,1.56,1.47,5.52,2704,0.00,6.50,6,34,0,0
0.660,-0,29.25,-9.75,108,0.08,1025,0.00,75,0,0.00,1.56,1.47,5.57,2704,0.00,6.50,6,34,0,0
0.704,-0,29.25,-9.75,108,0.08,1025,0.00,75,0,0.00,1.56,1.48,5.57,2699,0.00,6.50,6,34,0,0
0.755,-0,29.25,-9.75,109,0.08,1028,0.00,75,0,0.00,1.56,1.48,5.52,2692,0.00,6.50,6,34,0,0
0.774,-0,29.25,-9.75,109,0.08,1025,0.00,75,0,0.00,1.56,1.48,5.52,2690,0.00,6.50,6,34,0,0
0.818,-0,29.25,-9.75,109,0.08,1028,0.00,75,0,0.00,1.56,1.47,5.52,2686,0.00,6.50,6,34,0,0
0.862,-0,29.25,-9.75,109,0.08,1028,0.00,75,0,0.00,1.56,1.47,5.52,2682,0.00,6.50,6,34,0,0
0.906,-0,29.25,-9.75,109,0.08,1028,0.00,75,0,0.00,1.56,1.47,5.47,2682,0.00,6.50,6,34,0,0
0.949,-0,29.25,-9.75,109,0.08,1028,0.00,75,0,0.00,1.56,1.47,5.47,2680,0.00,6.50,6,34,0,0
1.004,-0,29.25,-9.75,109,0.08,1028,0.00,75,0,0.00,1.56,1.47,5.52,2675,0.00,6.50,6,34,0,0
1.058,-0,29.25,-9.75,109,0.08,1028,0.00,75,0,0.00,1.56,1.47,5.47,2676,0.00,6.50,6,34,0,0
1.102,-0,29.25,-9.75,109,0.08,1025,0.00,75,0,0.00,1.56,1.47,5.47,2670,0.00,6.50,6,34,0,0
1.146,-0,29.25,-9.75,109,0.08,1030,0.00,75,0,0.00,1.56,1.47,5.47,2662,0.00,6.50,6,34,0,0
1.201,-0,29.25,-9.75,109,0.08,1028,0.00,75,0,0.00,1.56,1.47,5.52,2660,0.00,6.50,6,34,0,0
1.257,-0,29.25,-9.75,109,0.08,1028,0.00,75,0,0.00,1.56,1.47,5.47,2656,0.00,6.50,6,34,0,0
1.302,-0,29.25,-9.75,109,0.08,1028,0.00,75,0,0.00,1.56,1.47,5.52,2656,0.00,6.50,6,34,0,0
1.342,-0,29.25,-9.75,109,0.08,1030,0.00,75,0,0.00,1.56,1.47,5.47,2652,0.00,6.50,6,34,0,0
1.386,-0,29.25,-9.75,109,0.08,1028,0.00,75,0,0.00,1.56,1.47,5.47,2650,0.00,6.50,6,34,0,0
1.437,-0,29.25,-9.75,109,0.08,1030,0.00,75,0,0.00,1.56,1.47,5.47,2647,0.00,6.50,6,34,0,0
1.482,-0,29.25,-9.75,109,0.08,1030,0.00,75,0,0.00,1.56,1.46,5.43,2640,0.00,6.50,6,34,0,0
1.537,-0,29.25,-9.75,109,0.08,1033,0.00,75,0,0.00,1.56,1.46,5.43,2637,0.00,6.50,6,34,0,0
1.591,-0,29.25,-9.75,109,0.08,1030,0.00,75,0,0.00,1.56,1.46,5.40,2635,0.00,6.50,6,33,0,0
1.635,-0,29.25,-9.75,109,0.08,1030,0.00,75,0,0.00,1.56,1.46,5.40,2630,0.00,6.50,6,33,0,0
1.662,-0,29.25,-9.75,109,0.08,1033,0.00,75,0,0.00,1.56,1.46,5.43,2626,0.00,6.50,6,33,0,0
1.707,-0,29.25,-9.75,109,0.08,1030,0.00,75,0,0.00,1.56,1.46,5.40,2623,0.00,6.50,6,33,0,0
1.747,-0,29.25,-9.75,109,0.08,1033,0.00,75,0,0.00,1.56,1.46,5.43,2622,0.00,6.50,6,33,0,0
1.800,-0,29.25,-9.75,109,0.08,1030,0.00,75,0,0.00,1.56,1.46,5.43,2620,0.00,6.50,6,33,0,0
1.855,-0,29.25,-9.75,109,0.08,1033,0.00,75,0,0.00,1.56,1.46,5.43,2614,0.00,6.50,6,33,0,0
1.910,-0,29.25,-9.82,109,0.08,1030,0.00,75,0,0.00,1.56,1.46,5.40,2600,0.00,6.50,6,33,0,0
1.947,-0,29.25,-9.75,109,0.08,1033,0.00,75,0,0.00,1.56,1.46,5.40,2597,0.00,6.50,6,33,0,0
2.011,-0,29.25,-9.75,109,0.08,1036,0.00,75,0,0.00,1.56,1.46,5.40,2597,0.00,6.50,6,33,0,0
2.055,0,29.25,-9.75,109,0.08,1033,0.00,75,0,0.00,1.56,1.45,5.37,2600,0.00,6.50,6,33,0,0
2.092,0,29.25,-9.82,109,0.08,1033,0.00,75,0,0.00,1.56,1.45,5.37,2604,0.00,6.50,6,33,0,0
2.129,0,29.25,-9.75,109,0.08,1033,0.00,75,0,0.00,1.56,1.45,5.37,2604,0.00,6.50,6,33,0,0
2.176,0,29.25,-9.75,109,0.08,1033,0.00,75,0,0.00,1.56,1.45,5.37,2597,0.00,6.50,6,33,0,0
2.219,0,29.25,-9.82,109,0.08,1033,0.00,75,0,0.00,1.56,1.45,5.37,2593,0.00,6.50,6,33,0,0
2.266,0,29.25,-9.75,109,0.08,1036,0.00,75,0,0.00,1.56,1.45,5.37,2583,0.00,6.50,6,33,0,0
2.315,0,29.25,-9.75,109,0.08,1036,0.00,75,0,0.00,1.56,1.45,5.37,2576,0.00,6.50,6,32,0,0
2.350,0,29.25,-9.75,109,0.08,1033,0.00,75,0,0.00,1.56,1.45,5.37,2578,0.00,6.50,6,32,0,0
2.401,0,29.25,-9.82,109,0.08,1036,0.00,75,0,0.00,1.56,1.45,5.37,2575,0.00,6.50,6,32,0,0
2.439,0,29.25,-9.75,109,0.08,1036,0.00,75,0,0.00,1.56,1.45,5.37,2569,0.00,6.50,6,32,0,0
2.474,-0,29.25,-9.75,109,0.08,1033,0.00,75,0,0.00,1.56,1.45,5.34,2568,0.00,6.50,6,32,0,0
2.512,-0,29.25,-9.75,109,0.08,1036,0.00,75,0,0.00,1.56,1.45,5.37,2562,0.00,6.50,6,32,0,0
2.549,-0,29.25,-9.75,109,0.08,1036,0.00,75,0,0.00,1.56,1.45,5.34,2560,0.00,6.50,6,32,0,0
2.593,0,29.25,-9.82,109,0.08,1037,0.00,75,0,0.00,1.56,1.45,5.34,2562,0.00,6.50,6,32,0,0
2.643,0,29.25,-9.75,109,0.08,1037,0.00,75,0,0.00,1.56,1.45,5.34,2562,0.00,6.50,6,32,0,0
2.678,-0,29.25,-9.75,109,0.08,1036,0.00,75,0,0.00,1.56,1.45,5.34,2557,0.00,6.50,6,32,0,0
2.722,0,29.25,-9.75,109,0.08,1036,0.00,75,0,0.00,1.56,1.44,5.32,2555,0.00,6.50,6,32,0,0
2.778,-0,29.25,-9.82,109,0.08,1036,0.00,75,0,0.00,1.56,1.45,5.34,2552,0.00,6.50,6,32,0,0
2.821,0,29.25,-9.75,109,0.08,1037,0.00,75,0,0.00,1.56,1.44,5.32,2543,0.00,6.50,6,32,0,0
2.865,0,29.25,-9.75,109,0.08,1040,0.00,75,0,0.00,1.56,1.44,5.32,2542,0.00,6.50,6,32,0,0
